,name,geo_type,popestimate2010,popestimate2020,n_pop_chg_2010_2020,births_2010_2020,deaths_2010_2020,natural_increase_2010_2020,int_migration_2010_2020,dom_migration_2010_2020,net_migration_2010_2020,dom_migration_rate_1020,int_migration_rate_1020
1513,"Windsor County, VT",County or equivalent,56604,54988,-1670,4837,6049,-1212,532,-954,-422,-0.016853932584269662,0.009398629072150378
1514,"Hockley County, TX",County or equivalent,22827,22921,23,3240,2199,1041,131,-1146,-1015,-0.05020370613746879,0.005738818066324966
1515,"Union County, PA",County or equivalent,45005,44294,-674,4122,3937,185,466,-1340,-874,-0.02977446950338852,0.010354405066103769
1516,"Marshall County, TN",County or equivalent,30688,35016,4405,3943,3425,518,371,3532,3903,0.11509384775808132,0.01208941605839416
1517,"Mifflin County, PA",County or equivalent,46638,46064,-613,5965,5582,383,106,-1065,-959,-0.022835456065869036,0.002272824735194477
1518,"Dawson County, NE",County or equivalent,24302,23510,-806,4047,2165,1882,1018,-3736,-2718,-0.1537322031108551,0.041889556415109865
1519,"Gosper County, NE",County or equivalent,2040,1986,-58,224,243,-19,0,-38,-38,-0.01862745098039216,0.0
1520,"Seward County, KS",County or equivalent,22972,21038,-1912,4355,1325,3030,955,-5929,-4974,-0.2580968135121017,0.041572348946543616
1521,"Logan County, IL",County or equivalent,30282,28383,-1922,3067,3425,-358,141,-1715,-1574,-0.056634304207119734,0.004656231424608678
1522,"Clinton County, PA",County or equivalent,39262,37957,-1291,4319,4171,148,125,-1557,-1432,-0.0396566654780704,0.0031837400030563907
1523,"Cass County, IN",County or equivalent,38985,37388,-1582,4822,4140,682,881,-3164,-2283,-0.08115942028985508,0.022598435295626523
1524,"Clay County, KY",County or equivalent,21668,19631,-2105,2736,2748,-12,46,-2161,-2115,-0.0997323241646668,0.0021229462802289088
1525,"Knox County, KY",County or equivalent,31846,31022,-860,4124,4141,-17,101,-936,-835,-0.029391446335489544,0.0031715129058594487
1526,"Laurel County, KY",County or equivalent,58993,61238,2393,7534,6341,1193,99,1151,1250,0.019510789415693387,0.0016781652060413948
1527,"Whitley County, KY",County or equivalent,35718,36451,817,5615,4952,663,180,-16,164,-0.00044795341284506414,0.005039475894506971
1528,"Los Alamos County, NM",County or equivalent,17995,19462,1512,1744,1267,477,766,241,1007,0.013392609058071686,0.04256737982772992
1529,"Mason County, MI",County or equivalent,28719,29164,475,2931,3464,-533,120,913,1033,0.03179080051533828,0.004178418468609631
1530,"Angelina County, TX",County or equivalent,86905,86796,25,12042,9224,2818,168,-2915,-2747,-0.03354237385650998,0.0019331453886427708
1531,"Robeson County, NC",County or equivalent,134469,129999,-4206,18581,13843,4738,522,-9437,-8915,-0.07017974403022258,0.003881935613412757
1532,"McDonough County, IL",County or equivalent,32631,29295,-3321,2875,3154,-279,815,-3891,-3076,-0.11924243817229015,0.02497624957862156
1533,"Jefferson County, IN",County or equivalent,32399,32110,-290,3748,3864,-116,158,-312,-154,-0.009629926849594123,0.004876693725114973
1534,"Hopkins County, KY",County or equivalent,46841,44662,-2255,5507,6135,-628,226,-1837,-1611,-0.03921777929591597,0.004824832945496467
1535,"Columbia County, AR",County or equivalent,24722,23331,-1221,2981,3117,-136,235,-1349,-1114,-0.054566782622765146,0.009505703422053232
