,NAME,pop_total_10,pop_total_20,pop_growth_1020,pct_pop_white_nh_10,pct_pop_white_nh_20,pct_pop_black_nh_10,pct_pop_black_nh_20,pct_pop_americanindian_nh_10,pct_pop_americanindian_nh_20,pct_pop_asian_nh_10,pct_pop_asian_nh_20,pct_pop_hawaiianpacificislander_nh_10,pct_pop_hawaiianpacificislander_nh_20,pct_pop_otherrace_nh_10,pct_pop_otherrace_nh_20,pct_pop_multiracial_nh_10,pct_pop_multiracial_nh_20,pct_pop_hispanic_10,pct_pop_hispanic_20
1848,"Hamilton County, New York",4836.0,5107.0,0.056038047973531846,0.9644334160463193,0.933816330526728,0.006823821339950372,0.005874290189935382,0.002274607113316791,0.0027413354219698455,0.004962779156327543,0.002349716075974153,0.0008271298593879239,0.00019580967299784609,0.00020678246484698098,0.0009790483649892304,0.009925558312655087,0.03446250244762091,0.01054590570719603,0.019580967299784608
1849,"Herkimer County, New York",64519.0,60139.0,-0.06788697902943319,0.9561524512159209,0.9087779976388034,0.009919558579643205,0.011340394752157501,0.0021234055084548738,0.0012637390046392524,0.005037275841225065,0.005969503982440679,0.00012399448224554007,0.0005321006335323168,0.0005579751701049303,0.0025441061540763896,0.009966056510485283,0.044131096293586525,0.01611928269192021,0.025441061540763896
1850,"Jefferson County, New York",116229.0,116721.0,0.004233022739591668,0.8576344974145867,0.7946727666829448,0.04710528353509021,0.05372640741597485,0.004301852377633809,0.003949589191319471,0.012595823761711793,0.01871985332545129,0.00234881139818806,0.0025702315778651655,0.0010410482753873819,0.004292286735034827,0.022120124925793048,0.053615030714267355,0.052852558311608976,0.06845383435714225
1851,"Kings County, New York",2504700.0,2736074.0,0.09237593324549846,0.3566518944384557,0.35394766369623043,0.31902662993572084,0.2666945411564161,0.0018517187687148162,0.001448791224213965,0.10385635006188366,0.13551387864509512,0.0002527248772308061,0.0002624198029731652,0.004245218988301993,0.012023432114774673,0.015973968938395817,0.041362185379489005,0.19814149399129635,0.18874708798080753
1852,"Lewis County, New York",27087.0,26582.0,-0.01864362978550596,0.9681766160888987,0.938304115566925,0.006276073393140621,0.0038748024979309305,0.0016243954664599254,0.0015047776690993906,0.0026581016723889687,0.0024452637122865098,0.000590689260530882,0.0004138138590023324,0.0001476723151327205,0.0019562109698292077,0.007346697677852844,0.03419607253028365,0.013179754125595303,0.017304943194642992
1853,"Livingston County, New York",65393.0,61834.0,-0.05442478552750294,0.9220558775404095,0.8831872432642236,0.022800605569403453,0.017320567972312968,0.0024161607511507346,0.0020215415467218683,0.011927882189225147,0.01056053304007504,0.00016821372318138027,9.703399424264968e-05,0.0008257764592540486,0.003282983471876314,0.012249017478935054,0.03952518032150597,0.02755646628844066,0.04400491638904163
1854,"Madison County, New York",73442.0,68016.0,-0.07388143024427439,0.9383731379864383,0.8963332157139496,0.01715639552299774,0.015746294989414256,0.00644045641458566,0.006395553987297107,0.007842923667656109,0.009762408844977652,0.00014977805615315487,0.00016172665255234062,0.0006263445984586477,0.0027493530933897906,0.011492061763023883,0.04425429310750412,0.017918901990686527,0.02459715361091508
1855,"Monroe County, New York",744344.0,759443.0,0.020284975763894115,0.728203626280322,0.6664792486072029,0.14435261115828166,0.14841140151400434,0.002134765645991638,0.0017381159613032184,0.03227405608159668,0.042523270344186466,0.00024451060262459294,0.00023833256742112312,0.0014791547993938286,0.0038949598587385754,0.0187574562299152,0.04092736387062623,0.0725538192018744,0.09578730727651713
1856,"Montgomery County, New York",50219.0,49532.0,-0.01368008124415062,0.8509130010553775,0.7719655979972543,0.014177900794520002,0.019926512153759186,0.0020510165475218544,0.0016756844060405395,0.007088950397260001,0.009670516030041185,0.00021904060216252814,0.0001817007187272874,0.00105537744678309,0.004239683436970039,0.01190784364483562,0.04471856577566018,0.11258686951153946,0.14762173948154728
1857,"Nassau County, New York",1339532.0,1395774.0,0.041986305664963586,0.6549369481281522,0.5584385437757116,0.10548833473183171,0.10547266247974242,0.0010294640217628247,0.0012279924973527233,0.07581603127062288,0.11689929745073342,0.00014706628882326067,0.0002092029225361699,0.0035385492843769315,0.008439761737931786,0.013205358289312984,0.025597267179357116,0.1458382479851172,0.1837152719566348
