"GEO_ID","NAME","P002050","P002051","P002052","P002053","P002054","P002055","P002056","P002057","P002058","P002059","P002060","P002061","P002062","P002063","P002064","P002065","P002066","P002067","P002068","P002069","P002070","P002071","P002072","P002073","P002049","P002001","P002002","P002003","P002004","P002005","P002006","P002007","P002008","P002009","P002010","P002011","P002012","P002013","P002014","P002015","P002016","P002017","P002018","P002019","P002020","P002021","P002022","P002023","P002024","P002025","P002026","P002027","P002028","P002029","P002030","P002031","P002032","P002033","P002034","P002035","P002036","P002037","P002038","P002039","P002040","P002041","P002042","P002043","P002044","P002045","P002046","P002047","P002048"
"0500000US06107","Tulare County, California","6","0","0","4","0","0","13","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","23","442179","268065","174114","167970","143935","5497","3323","14204","370","641","6144","5714","896","2137","1540","234","307","100","110","7","26","90","12","15","110","118","12","405","120","46","8","2","79","16","21","72","20","1","4","0","9","2","1","0","0","1","0","3"
"0500000US06109","Tuolumne County, California","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","55365","5918","49447","48091","45325","1114","830","530","62","230","1356","1289","109","827","205","49","37","8","4","0","1","8","8","2","17","14","0","60","13","6","0","1","11","1","2","22","0","1","0","0","0","2","0","0","1","0","0","0"
"0500000US06111","Ventura County, California","76","8","4","14","4","0","33","1","0","0","4","2","0","0","2","9","7","1","1","0","0","0","0","0","148","823318","331567","491751","473162","400868","13082","2389","54099","1353","1371","18589","17262","2362","3363","8505","686","442","261","408","58","72","145","12","16","481","443","8","1170","327","161","17","24","161","26","27","313","46","0","31","7","4","8","5","1","6","1","0","5"
"0500000US06113","Yolo County, California","18","0","5","10","0","0","7","0","0","0","2","0","0","0","0","3","2","0","0","1","0","0","0","0","42","200849","60953","139896","132990","100240","4752","1098","25640","817","443","6906","6406","778","1148","3200","217","165","79","142","18","38","52","13","5","318","179","54","455","140","48","13","14","76","16","5","97","12","2","9","2","6","5","0","1","1","1","0","7"
"0500000US06115","Yuba County, California","6","0","2","2","0","0","7","0","0","0","3","2","0","0","0","9","9","0","0","0","0","0","0","0","22","72155","18051","54104","50880","42416","2122","1260","4710","270","102","3224","2911","515","1374","616","70","52","69","78","11","12","24","7","7","48","28","0","282","104","53","7","0","45","9","8","40","1","0","7","0","1","6","0","0","1","0","0","0"
"0500000US08001","Adams County, Colorado","21","0","5","2","0","0","3","0","0","0","1","0","0","0","0","11","11","0","0","0","0","0","0","0","32","441603","167878","273725","266239","234970","12207","2478","15431","476","677","7486","6970","1839","1876","2154","172","240","215","160","20","37","53","7","14","89","92","2","473","193","83","1","8","53","12","9","79","10","2","6","2","1","6","2","0","0","0","1","5"
"0500000US08003","Alamosa County, Colorado","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","15445","7110","8335","8108","7667","138","134","130","6","33","227","214","33","103","39","6","13","3","5","1","1","1","0","4","4","1","0","12","2","2","0","3","0","0","2","2","0","1","0","0","0","0","0","0","0","0","0","0"
"0500000US08005","Arapahoe County, Colorado","49","13","8","24","8","1","8","0","0","2","6","0","1","0","0","16","16","0","0","0","0","0","1","1","120","572003(r39380)","105522","466481","450423","361747","55657","2386","28595","1036","1002","16058","14614","5348","2247","4164","277","294","810","627","102","184","83","24","23","233","193","5","1307","604","222","23","40","74","20","14","212","25","0","39","6","3","14","3","2","2","0","0","4"
"0500000US08007","Archuleta County, Colorado","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12084","2148","9936","9749","9446","33","166","79","4","21","187","173","29","92","28","2","17","1","0","0","0","0","0","2","0","2","0","14","5","0","0","0","5","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US08009","Baca County, Colorado","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3788","348","3440","3394","3323","20","39","6","0","6","46","45","8","35","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US08011","Bent County, Colorado","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6499","1985","4514","4478","3832","491","91","56","4","4","36","34","6","19","3","1","1","2","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US08013","Boulder County, Colorado","20","1","2","0","0","0","3","0","0","0","1","0","0","0","0","6","6","0","0","0","0","0","0","0","27","294567","39276","255291","249694","233741","2265","1061","11996","153","478","5597","5242","855","1189","2651","120","115","38","65","5","14","28","3","5","64","89","1","322","97","53","9","5","40","2","2","85","12","1","7","1","1","5","0","0","1","1","0","0"
"0500000US08014","Broomfield County, Colorado","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","4","55889","6216","49673","48609","44358","530","244","3368","43","66","1064","990","147","190","534","31","17","9","11","3","1","4","0","0","14","29","0","64","32","8","0","3","4","1","2","11","1","0","0","0","0","0","0","0","1","0","0","1"
"0500000US08015","Chaffee County, Colorado","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17809","1678","16131","15951","15417","267","143","104","8","12","180","177","21","96","40","1","15","1","0","0","1","1","0","0","0","1","0","3","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US08017","Cheyenne County, Colorado","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1836","178","1658","1646","1617","7","11","10","1","0","12","12","5","4","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
